rank,Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA
103,Kyle Harrison,MIL,17.2,49.0,90.1510633103391,106.0,111.5,17.425531914893618,2.0,0.04081633,16.0,0.32653061,3.05660388358508,3.698568056631007
104,Robbie Ray,SFG,28.1,72.0,87.09709985705389,103.4,109.6,21.27536231884058,11.0,0.15277778,24.0,0.33333333,2.8588236577123154,4.6321022213182435
105,Sonny Gray,BOS,23.0,80.0,88.11066650390624,104.5,110.5,6.12,9.0,0.1125,30.0,0.375,4.3043480045628755,5.61876008119169
106,Jacob Latz,TEX,4.0,10.0,95.05999755859375,101.0,102.2,21.3,2.0,0.2,6.0,0.6,0.0,2.3876235135308725
107,Aaron Ashby,MIL,2.1,6.0,97.23333740234375,116.3,116.3,14.833333333333334,1.0,0.16666667,3.0,0.5,7.714286765273879,2.548440183370538
108,Noah Schultz,CHW,9.1,23.0,87.69545399058948,102.2,108.1,15.181818181818182,0.0,0.0,7.0,0.30434783,3.8571429885163644,2.5741247122030146
109,Mike Burrows,HOU,26.2,87.0,87.2390803194594,102.0,111.5,14.206896551724139,5.0,0.05747126,31.0,0.35632184,6.750000402331376,3.9032745070922283
110,Adrian Houser,SFG,21.2,82.0,89.81499938964843,107.1,112.5,5.475,8.0,0.09756098,36.0,0.43902439,5.400000396141668,5.264821320621972
111,Eury Pérez,MIA,26.0,71.0,89.63285784040178,105.5,109.1,21.185714285714287,11.0,0.15492958,32.0,0.45070423,4.153846153846154,4.744277517518466
112,José Suarez,ATL,3.2,9.0,90.06666395399306,110.9,110.9,8.444444444444445,1.0,0.11111111,4.0,0.44444444,9.818183520608992,2.9120843915277557
113,Anthony Kay,CHW,10.1,26.0,89.0360009765625,105.9,113.4,18.16,2.0,0.07692308,11.0,0.42307692,1.7419356982244305,5.929911947164494
114,Tatsuya Imai,HOU,8.2,19.0,85.84210365696957,98.9,101.9,5.947368421052632,0.0,0.0,7.0,0.36842105,7.269232127396919,3.830992722037761
115,Sean Burke,CHW,20.1,66.0,89.01956840183423,105.9,108.7,7.304347826086956,3.0,0.04545455,19.0,0.28787879,4.868852535136059,5.2524165967651415
116,Steven Matz,TBR,24.1,66.0,89.05606079101562,105.4,114.9,19.772727272727273,6.0,0.09090909,27.0,0.40909091,4.80821924089692,4.452328159548211
117,Brandon Young,BAL,5.0,14.0,89.45000348772321,101.8,102.3,10.0,1.0,0.07142857,7.0,0.5,0.0,2.9795935920043997
118,Bubba Chandler,PIT,20.0,55.0,88.88703748914931,104.1,111.3,13.796296296296296,4.0,0.07272727,22.0,0.4,3.150000150203712,4.569523577866021
119,Patrick Corbin,TOR,14.2,41.0,91.12500305175782,108.4,109.5,13.4,5.0,0.12195122,19.0,0.46341463,3.681818341420709,7.975164833902047
120,Martín Pérez,ATL,16.0,50.0,90.35833231608073,102.7,116.9,13.5625,2.0,0.04,20.0,0.4,2.8125,4.8068115430829845
121,Mason Englert,TBR,3.2,16.0,93.0250015258789,105.5,108.9,23.1875,1.0,0.0625,6.0,0.375,7.363637640456744,4.522237874345887
122,Cody Ponce,TOR,2.1,6.0,87.86666870117188,101.5,101.5,6.166666666666667,0.0,0.0,2.0,0.33333333,3.8571433826369397,2.295243623002626
123,Garrett Crochet,BOS,24.0,73.0,89.5971435546875,104.7,110.7,12.857142857142858,8.0,0.10958904,32.0,0.43835616,7.8750003129243975,5.486341817777117
124,Jesse Scholtens,TBR,5.2,19.0,89.77894993832237,108.5,109.0,10.631578947368421,2.0,0.10526316,7.0,0.36842105,7.94117736156434,4.367631559432589
125,Logan Henderson,MIL,2.0,5.0,87.95999755859376,99.1,99.1,27.6,0.0,0.0,2.0,0.4,9.0,2.858718416692664
126,Jake Irvin,WSN,24.0,67.0,90.72238842409048,105.8,114.9,16.55223880597015,10.0,0.14925373,35.0,0.52238806,6.0,5.587681440555556
127,Foster Griffin,WSN,26.2,80.0,89.78987372676029,105.1,119.0,15.151898734177216,7.0,0.0875,32.0,0.4,3.3750000804662723,4.428625818082606
128,Jimmy Herget,COL,3.0,7.0,100.35000101725261,108.4,108.4,22.833333333333332,1.0,0.14285714,5.0,0.71428571,3.0,18.886691431934526
129,Zach Pop,PHI,2.0,8.0,94.61250305175781,108.3,108.3,3.25,1.0,0.125,6.0,0.75,4.5,9.836063047562977
130,Erick Fedde,CHW,14.2,43.0,89.45348837209302,103.3,113.1,18.372093023255815,4.0,0.09302326,18.0,0.41860465,4.295454731657493,3.5555045276647443
131,Chris Paddack,MIA,19.1,65.0,90.2281265258789,105.5,109.6,13.125,3.0,0.04615385,30.0,0.46153846,7.913793623943567,3.347481693191985
132,Tobias Myers,NYM,2.0,4.0,80.2750015258789,92.8,92.8,21.0,0.0,0.0,0.0,0.0,0.0,3.373619991196919
