rank,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
63,Aaron Civale,ATH,7.363636819643592,2.454545606547864,3.0,1.0519481170919416,0.1875,0.0625,0.125,0.25961538461538464,1.324675406708371,0.3,0.77922078,88.06709526529465,93.14465197770278,105.67065036932588,3.857143096003786,3.961490699110519,-0.10434760310673319,4.42977302633101,4.320460505168835
64,Brandon Woodruff,MIL,7.60563400713515,1.5211268014270298,5.0,1.1408451010702725,0.21276596,0.04255319,0.17021277,0.20224719101123595,0.9295774897609628,0.22727272727272727,0.69148936,86.10209261905985,91.02187027501165,103.81490173700996,3.4225353032108172,3.734858141927298,-0.3123228387164807,4.2427136057539325,3.9875195639442014
65,Aaron Nola,PHI,9.78750023335219,3.3750000804662723,2.9,1.3500000321865089,0.25217391,0.08695652,0.16521739,0.2761904761904762,1.462500034868718,0.3472222222222222,0.71856287,124.37580316256924,97.08574068196411,83.78694013164272,5.062500120699409,4.043308851718903,1.0191912689805056,3.4377349051994344,3.662017793654642
66,Sandy Alcantara,MIA,5.858490618746151,3.0566038010849486,1.91666667,1.0188679336949829,0.16428571,0.08571429,0.07857143,0.1968503937007874,1.0471698207420657,0.21,0.77160494,75.29579167970762,108.10356090301126,114.25462124258283,3.0566038010849486,4.416893747379959,-1.3602899462950102,4.662314562023862,4.726446508692169
67,Ranger Suarez,BOS,6.333333557034724,2.666666760856726,2.375,1.0000000353212721,0.17757009,0.07476636,0.10280374,0.23232323232323232,1.1481481887022014,0.2597402597402597,0.70895522,90.12572502555454,96.86608704806619,90.86528334554428,4.0000001412850885,4.069234788892039,-0.06923464760695008,3.7994076022341967,4.310585402050921
68,Joey Cantillo,CLE,10.657895673014863,4.263158269205945,2.5,1.0657895673014863,0.29126214,0.11650485,0.17475728,0.23333333333333334,1.3026316933684832,0.3157894736842105,0.77181208,75.95190663454972,93.29765783191105,89.22446665783937,3.197368701904459,3.8538352084622214,-0.6564665065577624,3.729546847985495,3.660618011306915
69,Walker Buehler,SDP,8.852459569991037,3.983606806495967,2.22222222,0.4426229784995519,0.2173913,0.09782609,0.11956522,0.2926829268292683,1.6229509211650237,0.3770491803278688,0.64417178,149.27611005260545,80.83207330241528,89.53402016827523,5.7540987204941745,3.2908498230944145,2.46324889739976,3.668725812363514,3.9944249487992693
70,Jack Leiter,TEX,10.302632096071349,3.9078949329925803,2.63636364,1.0657895271797946,0.25892857,0.09821429,0.16071429,0.26,1.4605263890982372,0.3382352941176471,0.68047337,118.41124300866028,90.5649980021104,90.85414943031229,4.973684460172375,3.8143614955225833,1.159322964649792,3.7989335555465464,3.7745240376748304
71,Jack Kochanowicz,LAA,5.896552111957952,5.275862415962378,1.11764706,0.31034484799778694,0.1557377,0.13934426,0.01639344,0.18269230769230768,1.2413793919911478,0.21428571428571427,0.73033708,72.0045589145991,97.66584791279621,115.21616064872195,3.1034484799778697,4.143308896031877,-1.0398604160540077,4.836190484663973,5.213971134238087
72,Andrew Abbott,CIN,5.472973325637438,4.013513772134122,1.36363636,0.7297297767516585,0.13157895,0.09649123,0.03508772,0.3106796116504854,1.7432433555734064,0.3488372093023256,0.64676617,138.92523960785246,100.66216122469271,117.03997171032327,5.837838214013268,4.318984581694458,1.5188536323188098,4.7742654357218495,5.099662057418364
73,Shane McClanahan,TBR,9.000000476837183,5.500000291400501,1.63636364,0.5000000264909547,0.225,0.1375,0.0875,0.18840579710144928,1.333333403975879,0.24,0.53097345,116.34659402629214,87.00581587745174,107.52561961226006,5.000000264909547,3.6988644152511805,1.3011358496583663,4.508751715047778,4.704575709800719
