rank,Name,Team,IP,Stf+ FA,Stf+ SI,Stf+ FC,Stf+ FS,Stf+ SL,Stf+ CU,Stf+ CH,Stf+ KC,Stf+ FO,Stuff+,Location+,Pitching+
109,Eury Pérez,MIA,26.0,118.58270588235295,,,,119.54245348797072,107.21333333333334,94.179,,,115.27606085414108,85.32615227179696,97.20820507572657
110,Adrian Houser,SFG,21.2,94.28916666666667,95.38199999999999,,,92.93374999999999,78.97529411764705,93.3604938271605,,,92.82266689887378,112.49676124641641,105.70261346890656
111,José Suarez,ATL,3.2,91.36,91.36,,,93.9,,104.38,,,95.84424242424242,88.25818181818181,87.7069696969697
112,Kumar Rocker,TEX,14.2,89.56347826086957,99.401875,81.6,,94.99676767676767,,73.09878787878789,,,92.89953846153847,96.25061538461539,90.36699999999999
113,Reynaldo López,ATL,20.2,84.92337209302326,,,,87.9066037735849,98.59944444444443,89.46,,,87.60741171551298,98.31276998517505,87.19392481088683
114,Anthony Kay,CHW,10.1,94.18825396825397,119.80896551724138,,,111.63718309859156,,108.99517241379311,,,106.74697916666668,92.95958333333333,98.44645833333334
115,Tatsuya Imai,HOU,8.2,87.42877551020409,,,83.1,85.40045454545454,75.7,89.04,,,86.70119152691967,97.15926547023635,85.6090408943807
116,Brandon Young,BAL,5.0,89.98,95.86,,93.5,100.62,103.64,,,,94.00246153846153,105.10646153846155,101.15199999999999
117,J.T. Ginn,ATH,9.1,83.2,110.66680000000001,75.40914285714285,,98.068,,87.4952380952381,,,93.90246575342468,101.28534246575343,99.4804109589041
118,Bubba Chandler,PIT,20.0,104.06393939393939,,,,109.32225000000001,100.98,100.82322580645162,,,104.61751375997395,102.55064582315585,109.55205080605764
119,Mason Englert,TBR,3.2,106.57999999999998,100.76,88.61999999999999,,,92.84,103.64,,,99.4728125,122.4321875,118.10187499999999
120,Jake Irvin,WSN,19.0,102.01228070175439,96.7435294117647,98.7056140350877,,116.64424242424244,102.5558208955224,82.23083333333334,,,100.63529732587585,97.5338175139828,95.42826501933939
121,Martín Pérez,ATL,16.0,71.87157894736842,97.89833333333333,94.02666666666666,,,89.5593103448276,82.59818181818181,,,90.15215050344463,94.45468362480126,86.46827556968734
122,Cody Ponce,TOR,2.1,109.28000000000002,,,,81.24000000000001,103.7,97.26,,,95.35659574468086,87.45914893617021,84.33829787234043
123,Sonny Gray,BOS,20.1,83.02246153846153,104.24184615384614,81.40263157894738,,143.9622222222222,99.64515151515153,83.16583333333334,,,99.158,96.81754285714285,101.02188571428573
124,Sean Burke,CHW,14.1,104.5911111111111,86.71724137931034,,,82.60774193548387,,83.79846153846155,81.83148148148148,,92.26760404040404,101.09507393939394,93.1101688888889
125,Logan Henderson,MIL,2.0,105.98,,86.40000000000002,,78.5,,94.08,,,98.77828571428572,98.84057142857142,100.66571428571427
126,Garrett Crochet,BOS,24.0,113.25255813953487,98.98691358024692,101.7820754716981,,152.32341463414636,,84.30571428571429,,,109.06842982052463,95.05907525877286,101.41561942702504
127,Zach Pop,PHI,2.0,,111.43999999999998,83.44,,110.42,,,,,106.34857142857142,106.60628571428572,108.37885714285714
128,Colin Rea,CHC,5.0,91.76,92.86,85.34,85.61999999999999,105.93714285714285,90.83999999999999,,,,92.73468354430379,89.8587341772152,83.106582278481
129,Erick Fedde,CHW,14.2,89.6,91.32275862068965,81.86070175438597,,102.05191011235956,,75.77470588235295,,,90.86475,97.85358333333333,90.84258333333334
130,Tobias Myers,NYM,2.0,,,,,,,,,,,,
131,Mason Montgomery,PIT,1.0,109.12,,,,110.06,,,,,109.46181818181817,121.10363636363635,129.29818181818183
132,Riley Martin,CHC,1.0,108.66000000000001,,,,96.88,97.16,,,,102.86333333333333,130.50333333333333,133.91666666666666
133,Cole Sulser,TBR,2.0,80.5,,76.56000000000002,,,,97.98,,,84.86777777777777,101.11166666666666,87.04444444444444
134,Michael Lorenzen,COL,20.2,91.17151515151515,91.03921568627452,80.9890909090909,,93.266875,86.50173913043479,87.672,,,88.8658651026393,98.62557184750733,88.00516129032259
135,Ryne Nelson,ARI,20.2,113.18219047619048,,98.52421052631578,,110.70028571428571,91.87095238095236,,,,109.23425219941348,96.36971157874383,105.56805323708548
136,Braydon Fisher,TOR,1.0,67.5,,98.06,,106.62,76.8,,,,83.48363636363636,129.16363636363639,118.15818181818184
137,Cody Bolton,HOU,5.1,88.45565217391304,90.28307692307693,98.91777777777777,,102.596,99.05714285714285,86.56923076923077,,,94.2311950844854,95.37794470046084,88.66238402457756
138,Jordan Leasure,CHW,1.1,106.52,76.25999999999999,,,86.78,,,,,96.61904761904762,84.26571428571428,90.53714285714285
139,Zach Eflin,BAL,3.2,89.12,103.98,89.06,,98.06000000000002,100.08,87.66,,,94.76297297297297,108.03972972972974,98.71054054054053
140,Cade Horton,CHC,7.1,99.74888888888889,95.86,,,116.3,105.42,88.31052631578947,,,99.19348707403056,117.57546709753231,113.5393331374853
141,Emmet Sheehan,LAD,20.0,86.7876119402985,,,,88.95212121212121,89.95611111111111,99.22909090909091,,,90.22032069970845,105.64469995140912,99.15365038872692
142,Mason Fluharty,TOR,1.0,,,102.3,,96.48,,86.76,,,98.418,124.292,135.384
143,Slade Cecconi,CLE,19.2,89.85383458646618,97.21891891891893,91.3246153846154,,92.82871794871795,98.19809523809523,,,,92.64780514890481,90.90316661701542,80.70274533662851
144,Patrick Corbin,TOR,9.2,78.104,80.17142857142856,92.68260869565216,,106.17142857142856,81.16,89.60352941176471,,,91.14058217189314,108.33218495934959,103.04017857142857
145,Simeon Woods Richardson,MIN,20.2,79.18270270270271,,,92.2864367816092,94.34,87.72615384615385,,,,86.7804601405239,94.4433963723073,84.00278899422393
