rank,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
38,Jeffrey Springs,ATH,3.0,1.0,0.0,5.0,5.0,29.2,8.191011411495667,2.7303371371652227,1.2134831720734323,0.21052631578947367,0.76923077,0.4125,0.114285714,91.49610766475065,3.3370787232019388,3.0530042086341695,3.9839913173781976,3.85023378245017,0.5540178537391705
39,Chase Burns,CIN,2.0,1.0,0.0,5.0,5.0,28.0,9.642857471290911,3.5357144061400008,1.2857143295054547,0.22727272727272727,0.90163934,0.485714285,0.142857142,98.241626953125,2.5714286590109094,3.8773683785731494,4.0341518433726575,3.549347823493929,0.5487010667619199
40,Edward Cabrera,CHC,2.0,0.0,0.0,4.0,4.0,22.2,6.750000189332407,4.3676471813327336,0.0,0.2857142857142857,0.79310345,0.403225806,0.0,95.90544946642889,2.3823530079996726,4.233110131627227,3.0971770218086903,4.308064279693564,0.5476377484357766
41,Jesús Luzardo,PHI,1.0,3.0,0.0,5.0,5.0,27.1,10.865854543139083,2.9634148754015683,0.9878049584671894,0.39473684210526316,0.54123711,0.487179487,0.157894736,97.47322057505123,6.9146347092703255,3.6076728864536936,3.251050776601335,2.7781643315818267,0.5467257134429504
42,Max Meyer,MIA,1.0,0.0,0.0,5.0,5.0,25.0,10.0800003845215,3.9600001510620175,0.7200000274658214,0.2647058823529412,0.72847682,0.449275362,0.083333333,94.83654928768382,3.9600001510620175,4.374410433899999,3.5012946838378918,3.7787399940469872,0.5420503943975952
43,Michael Soroka,ARI,4.0,0.0,0.0,4.0,4.0,22.2,11.11764737066514,2.3823530079996726,0.7941176693332243,0.2962962962962963,0.82644628,0.381818181,0.1,94.08097587044783,2.779411842666285,4.947413397938115,3.00894172521611,3.072770127397438,0.5048459997463487
44,Jacob Misiorowski,MIL,1.0,2.0,0.0,5.0,5.0,26.2,14.175000337958345,4.050000096559526,1.3500000321865089,0.26,0.79545455,0.407407407,0.19047619,98.98284114123233,3.037500072419645,2.8889065055986296,3.6287946817278867,2.759511508351519,0.49975744155033885
45,Kyle Bradish,BAL,1.0,2.0,0.0,5.0,5.0,25.0,10.0800003845215,4.6800001785278385,0.7200000274658214,0.4166666666666667,0.71090047,0.472222222,0.086956521,,4.6800001785278385,3.6740831310175337,3.5012946838378918,3.723846437801906,0.49836266697651216
46,Justin Wrobleski,LAD,3.0,0.0,0.0,3.0,3.0,20.0,3.15,1.8,0.0,0.1875,0.875,0.453125,0.0,94.06865465318835,0.9,3.897185132881987,3.0412946701049806,4.825335180014372,0.4972760356049344
47,Joe Boyle,TBR,0.0,1.0,0.0,3.0,3.0,15.2,9.191489734710114,3.4468086505162927,0.5744681084193821,0.23255813953488372,0.38461538,0.409090909,0.052631578,97.7409823330966,5.170212975774439,4.301153728422062,3.077464880280605,3.912003524046862,0.49146241454669837
48,Logan Webb,SFG,2.0,2.0,0.0,5.0,5.0,30.0,8.1,3.3,0.6,0.31868131868131866,0.59701493,0.586956521,0.105263157,92.86003150009527,5.4,4.413065972909441,3.4079613367716473,3.410442610830069,0.4877995590442191
49,Hunter Brown,HOU,1.0,0.0,0.0,2.0,2.0,10.2,14.343750854954175,5.062500301748532,0.0,0.25,0.90909091,0.5,0.0,96.23904622395834,0.843750050291422,1.8128678406458654,1.6412945806980082,2.413235231958512,0.4837872646687765
50,Jacob deGrom,TEX,1.0,0.0,0.0,4.0,4.0,19.2,11.44067833595529,2.74576280062927,1.372881400314635,0.2727272727272727,0.95238095,0.255319148,0.107142857,97.25335653981855,2.2881356671910584,2.6869763642728777,3.4972268850013677,3.468014404687873,0.46837910811961314
51,Shane Baz,BAL,0.0,2.0,0.0,5.0,5.0,28.1,7.305882680820361,3.1764707307914612,0.6352941461582923,0.3595505617977528,0.69444444,0.373626373,0.06060606,96.94799525669643,5.082353169266338,4.241167843223298,3.7060005778012406,4.386724685102716,0.456046394630871
