rank,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN
159,Eury Pérez,MIA,20.0,98.24587976792279,,84.9111090766059,,,,85.59514610512743,81.11153705303485,,,89.09250030517578,,
160,Michael Lorenzen,COL,15.2,93.43283582089552,,89.47499916770242,,,92.91199584960937,83.63593673706055,81.80652253524117,,,83.79857090541294,,
161,Ryan Weiss,HOU,3.2,94.704345703125,,,,,93.55000305175781,83.88709677419355,81.25,,,88.6624984741211,,
162,Merrill Kelly,ARI,5.1,91.3681807084517,,90.63809640066964,,,92.84286063058036,,81.82666829427083,,,88.25714401971726,,
163,Brandon Williamson,CIN,15.1,92.62535073723592,,88.406846973994,,,93.02631378173828,80.66666440610533,75.0250015258789,,,85.25151293205492,,
164,Chris Bassitt,BAL,11.0,90.95652173913044,,89.06470444623162,,,91.7589990234375,73.36363497647372,71.06315639562774,,,84.9,,
165,Brent Suter,LAA,2.0,86.74000244140625,,,,,88.0,76.875,,,,75.33845872145433,,
166,Dean Kremer,BAL,5.0,93.29411764705883,,86.73750305175781,82.54482926993535,,92.7636385830966,83.51666259765625,77.64444308810764,,,,,
167,Jose Quintana,COL,8.0,89.94310681573276,,,,,90.06129111013105,,79.77241463496767,,,85.42571498325893,,
168,Roki Sasaki,LAD,13.0,97.04586931981078,,,85.25753324325771,,,86.41625061035157,,,,,,
169,Colton Gordon,HOU,3.2,90.88076547475961,,85.75,,,91.20000348772321,81.79166666666667,76.32499694824219,,,82.9375,,
170,Emmet Sheehan,LAD,15.0,94.25940545714728,,,,,,86.99588974208048,76.19166564941406,,,85.29166666666667,,
171,Pete Fairbanks,MIA,1.0,96.27000122070312,,88.45999755859376,,,,82.28333536783855,,,,91.30000305175781,,
172,Ryan Johnson,LAA,3.1,,,90.35356794084821,82.93845778245192,,92.90769606370192,78.53333536783855,,,,,,
173,Brandon Sproat,MIL,9.2,96.93845778245192,,93.86511798237645,,,96.54889051649306,86.31935562626008,83.2904779343378,,,92.625,,
174,Jameson Taillon,CHC,16.2,91.36329052116298,,85.9013909233941,,,91.2642844063895,80.18889024522569,78.64193627142137,,,83.90000032123767,,
175,Taijuan Walker,PHI,14.2,91.5360009765625,,86.19782422936481,86.68000162760417,,91.40185320818865,81.21250057220459,74.15897467197516,,,,,
176,George Klassen,LAA,4.2,96.77678571428571,,,,,97.09375190734863,90.52857026599702,85.19999694824219,,,87.20277913411458,,
177,Germán Márquez,SDP,13.0,94.33052528782895,,,,,93.59062385559082,88.06923029972957,,85.67171717171718,,85.7750015258789,,
178,Matthew Liberatore,STL,21.0,94.4087998046875,,90.08750057220459,87.30000305175781,,94.61666564941406,86.05862040903376,77.7090897993608,,,88.44999842489919,,
179,Max Scherzer,TOR,10.1,92.97356406025503,,88.30909035422586,,,,86.20768933418469,76.33076829176683,,,84.64999898274739,,
180,Cristian Javier,HOU,9.1,92.79404849097843,,,,,92.91666666666667,79.07727328213778,,76.77777777777777,,84.45555736400463,,
181,Luis Gil,NYY,9.0,95.3972602739726,,,,,95.1391309655231,87.01249694824219,,,,90.48372206577035,,
182,Miles Mikolas,WSN,12.1,92.125,,,,,91.49811366818986,84.24444483196925,75.36856863839286,,,84.89999961853027,,
183,Tyler Mahle,SFG,18.2,92.41783268436505,,88.0478283426036,85.34949593592172,,91.9411782657399,84.0057137625558,,,,,,
184,Luis Morales,ATH,7.1,96.5,,,,,96.4000015258789,83.53333100818452,,,,90.075,,
